TIME 	WIND	TEMP	QFE 	QNH
0500Z	250/05KT	29	1009	1010
0600Z	260/06KT	29	1008	1009
0700Z	290/12KT	28	1007	1008
0800Z	300/12KT	28	1006	1007
0900Z	290/11KT	29	1006	1007
1000Z   300/12KT	29	1005	1006
1100Z	310/09KT	28	1005	1006
1200Z	340/07KT	28	1005	1006
1300Z	300/08KT	28	1005	1006
1400Z	310/06KT	28	1006	1007
1500Z	320/06KT	28	1006	1007
1600Z	300/05KT	28	1007	1008
1700Z	310/06KT	28	1007	1008
1800Z	300/05KT	28	1007	1008
1900Z	290/06KT        28	1006	1007
2000Z	310/06KT	27	1006	1007
2100Z	300/06KT	27	1005	1006
2200Z	310/05KT	28	1004	1005
2300Z	310/05KT	28	1004	1005
4
0000Z 	310/05		28	1005	1006
0100Z	320/08		28	1005	1006
0200Z	320/08		29	1006	1007
0300Z	290/07		29	1007	1008
0400Z 	290/07		30	1007	1008
0500Z	320/08		30	1007	1008
0600Z	290/08		31	1006	1007
0700Z	320/10		31	1006	1007
0800Z	310/11		32	1005	1006
0900Z	320/12		32	1004	1005
1000Z 	300/11		32	1004	1005
1100Z	300/09		31	1003	1004
1200Z	290/10		30	1004	1005
1300Z	270/10		30	1004	1005
1400Z	280/10		29	1005	1005
1500Z	280/10		29	1006	1006
1600Z	300/07		29	1006	1006
1700Z	310/07		28	1007	1007
1800Z	320/07		28	1007	1007
1900Z	280/06		28	1006	1006
2000Z	320/06		28	1006	1006
2100Z	340/05		28	1005	1005
2200Z	320/04		28	1005	1005
2300Z	310/04		27	1005	1005
5
0000Z 	VRB/03		27	1004	1005
0100Z	VRB/03		27	1005	1006
0200Z	310/05		27	1005	1006
0300Z	300/06		28	1006	1007
0400Z 	320/06		29	1007	1008
0500Z	310/06		30	1007	1008
0600Z	300/08		31	1006	1007
0700Z	270/12		31	1006	1007
0800Z	280/12		31	1005	1006
0900Z	260/12		31	1004	1005
1000Z 	280/12		31	1004	1005
1100Z	290/10		31	1003	1004
1200Z	290/10		30	1003	1004
1300Z	300/09		30	1004	1005
1400Z	290/08		30	1005	1006
1500Z	310/08		29	1005	1006
1600Z	290/06		28	1005	1006
1700Z	320/05		28	1005	1006
1800Z	290/05		27	1006	1007
1900Z	320/05		27	1005	1006
2000Z	340/06		27	1005	1006
2100Z	320/06		27	1004	1005
2200Z	320/05		27	1004	1005
2300Z	330/06		27	1004	1005
6
0000Z   320/06KT 	27 	1004    1005
0100Z 	330/05KT 	28	1004 	1005
0200Z 	340/06KT 	28 	1005 	1006
0300Z 	290/07KT 	29	1006 	1007
0400Z 	290/09KT 	29 	1006 	1007
0500Z 	280/10KT 	30 	1006 	1007
0600Z 	270/12KT 	31 	1006 	1007
0700Z 	280/12KT 	31 	1005 	1006
0800Z 	290/12KT 	31 	1005 	1006
0900Z 	290/11KT 	32 	1004 	1005
1000Z 	290/08KT 	32 	1004 	1005
1100Z 	300/09KT 	31 	1003 	1004
1200Z 	300/10KT	31 	1003 	1004
1300Z 	290/10KT 	30 	1004 	1005
1400Z 	280/08KT 	29 	1004 	1005
1500Z 	270/08KT 	29 	1005 	1006
1600Z 	280/07KT 	29 	1005 	1006
1700Z 	260/07KT 	29 	1006 	1007
1800Z 	270/08KT 	29 	1005 	1006
1900Z	280/08KT 	29 	1005 	1006
2000Z 	280/08KT 	28 	1004 	1005
2100Z 	270/08KT 	28 	1004 	1005
2200Z 	270/06KT 	28 	1005 	1006
2300Z	280/06KT 	28 	1005 	1006
2400Z 	270/05KT 	28 	1005 	1006
2200Z 	270/06KT 	28 	1005 	1006
2300Z 	280/06KT 	28 	1005 	1006
7
0000Z 	270/05KT 	28 	1005 	1006
0100Z 	260/06KT 	28 	1005 	1006
0200Z 	280/06KT 	28 	1006 	1007
0300Z 	280/07KT 	29 	1006 	1007
0400Z 	270/07KT 	29 	1007 	1008
0500Z 	280/08KT 	30 	1006 	1007
0600Z 	290/10KT 	31 	1006 	1007
0700Z 	290/08KT 	31 	1005 	1006
0800Z 	290/08KT 	29 	1005 	1006
0900Z 	300/09KT 	29 	1004 	1005
1000Z 	290/09KT 	28 	1003 	1004
1100Z 	280/08KT 	28 	1003 	1004
1200Z 	270/08KT 	28 	1003 	1004
1300Z 	280/08KT 	28 	1004 	1005
1400Z 	270/08KT 	28 	1004 	1005
1500Z 	290/08KT 	28 	1004 	1005
1600Z 	050/05KT 	27 	1004 	1005
1700Z 	040/05KT 	26 	1004 	1005
1800Z 	030/04KT 	26 	1004 	1005
1900Z 	260/07KT 	27 	1004 	1005
2000Z 	270/07KT 	26 	1004 	1005
2100Z 	260/07KT 	25 	1003 	1004
2200Z 	280/08KT 	26 	1003 	1004
2300Z 	260/08KT 	26 	1003 	1004
2400Z 	280/07KT 	26 	1004 	1005
8
0000Z 	280/07KT 	26 	1004 	1005
0100Z 	250/08KT 	26 	1004 	1005
0200Z 	210/10KT 	26 	1005 	1006
0300Z 	240/08KT 	27 	1006 	1007
0400Z 	260/07G17KT 	27 	1006 	1007
0500Z 	280/12KT 	28 	1006 	1007
0600Z 	260/12KT 	29 	1006 	1007
0700Z 	290/12KT 	28 	1005 	1006
0800Z 	290/13KT 	28 	1005 	1006
0900Z 	290/10G20KT 	28 	1004 	1005
1000Z 	290/08KT 	28 	1004 	1005
1100Z 	290/08KT 	28 	1004 	1005
1200Z 	290/07KT 	27 	1004 	1005
1300Z 	270/08KT 	27 	1005 	1006
1400Z 	280/08KT 	27 	1005 	1006
1500Z 	280/08KT 	28 	1005 	1006
1600Z 	270/07KT 	28 	1006 	1007
1700Z 	270/07KT 	27 	1006 	1007
1800Z 	280/07KT 	28 	1006 	1007
1900Z 	270/06KT 	28 	1005 	1006
2000Z 	270/07KT 	28 	1005 	1006
2100Z 	280/08KT 	28 	1004 	1005
2200Z 	290/07KT 	28 	1004 	1005
2300Z 	300/08KT 	27 	1004 	1005
9
0000Z 	280/10KT 	28 	1004 	1005
0100Z 	290/08KT 	28 	1005 	1006
0200Z 	300/08KT 	28 	1006 	1007
0300Z	310/09KT 	29 	1006	1007
0400Z 	300/09KT 	29 	1006 	1007
0500Z 	290/08KT 	29 	1007 	1008
0600Z 	280/10KT 	29 	1006 	1007
0700Z 	290/10KT 	28 	1006 	1007
0800Z 	300/10KT 	27 	1005 	1006
0900Z 	290/09KT 	27 	1004 	1005
1000Z 	300/09KT 	26 	1004 	1005
1100Z 	290/10KT 	27 	1003 	1004
1200Z 	280/10KT 	27 	1004 	1005
1300Z 	270/09KT 	28 	1004 	1005
1400Z 	250/08KT 	28 	1005 	1006
1500Z 	250/07KT 	27 	1005 	1006
1600Z 	250/08KT 	27 	1005 	1006
1700Z 	240/07KT 	27 	1005 	1006
1800Z 	240/08KT 	27 	1006 	1007
1900Z 	280/07KT 	28 	1005 	1006
2000Z 	270/06KT 	27 	1005 	1006
2100Z 	240/05KT 	27 	1004 	1005
2200Z 	240/05KT 	27 	1003 	1004
2300Z 	250/06KT 	27 	1003 	1004
10
0000Z 	250/07KT 	28 	1004 	1005
0100Z 	260/08KT 	28 	1005 	1006
0200Z 	270/08KT 	29 	1005 	1006
0300Z	280/08KT 	29 	1006	1007
0400Z 	270/09KT 	30 	1006 	1007
0500Z 	270/10KT 	30 	1006 	1007
0600Z 	270/11KT 	30 	1006 	1007
0700Z 	270/08G18KT 	30 	1005 	1006
0800Z 	260/07G17KT 	30 	1005 	1006
0900Z 	270/07G17KT 	29 	1004 	1005
1000Z 	280/07G17KT 	29 	1004 	1005
1100Z 	280/10KT 	29 	1004 	1005
1200Z 	290/12KT 	29 	1004 	1005
1300Z 	270/10KT 	29 	1004 	1005
1400Z 	280/10KT 	29 	1005 	1006
1500Z 	260/08KT 	28 	1005 	1006
1600Z 	280/07KT 	28 	1006 	1007
1700Z 	270/08KT 	28 	1006 	1007
1800Z 	260/08KT 	28 	1006 	1007
1900Z 	270/07KT 	28 	1005 	1006
2000Z 	260/07KT 	28 	1005 	1006
2100Z 	280/08KT 	27 	1004 	1005
2200Z 	240/06KT 	27 	1004 	1005
2300Z 	220/05KT 	27 	1004 	1005
11
0000Z 	250/06KT 	27 	1005 	1006
0100Z 	260/08KT 	28 	1005 	1006
0200Z 	290/08KT 	28 	1007 	1008
0300Z 	270/10KT 	29 	1007 	1008
0400Z 	260/11KT 	29 	1007 	1008
0500Z 	250/10KT 	30 	1007 	1008
0600Z 	260/07G17KT 	31 	1007 	1008
0700Z 	270/12KT 	31 	1007 	1008
0800Z 	280/13KT 	30 	1006 	1007
0900Z 	280/12KT 	30 	1005 	1006
1000Z 	280/09G19KT 	30 	1005 	1006
1100Z 	270/08G18KT 	29 	1004 	1005
1200Z 	270/09G19KT 	29 	1004 	1005
1300Z 	270/10KT 	28 	1005 	1006
1400Z 	260/08KT 	28 	1006 	1007
1500Z 	250/08KT 	28 	1006 	1007
1600Z 	240/07KT 	28 	1007 	1008
1800Z 	240/07KT 	28 	1007 	1008
1900Z 	230/08KT 	28 	1006 	1007
2000Z 	240/06KT 	28 	1005 	1006
2100Z 	240/08KT 	28 	1005 	1006
2200Z 	240/06KT 	28 	1005 	1006
2300Z 	250/07KT 	28 	1005 	1006
12
0000Z 	250/08KT 	28 	1005 	1006
0100Z 	250/08KT 	28 	1006 	1007
0200Z 	260/07KT 	28 	1007 	1008
0300Z 	270/08KT 	29	1007 	1008
0400Z 	250/08KT 	29 	1007 	1008
0500Z 	250/10KT 	30 	1008 	1009
0600Z 	260/10KT 	30 	1007 	1008
0700Z 	270/07G17KT 	31 	1007 	1008
0800Z 	280/08G18KT 	31 	1006 	1007
0900Z 	270/07G17KT 	30 	1006 	1007
1000Z 	260/12KT 	30 	1005 	1006
1100Z 	270/12KT 	30 	1004 	1005
1200Z 	270/08G18KT 	29 	1005 	1006
1300Z 	270/07G17KT 	29 	1006 	1007
1400Z 	260/10KT 	29 	1006 	1007
1500Z 	270/10KT 	28 	1007 	1008
1600Z 	260/10KT 	28 	1007 	1008
1700Z 	250/10KT 	28 	1007 	1008
1800Z 	240/10KT 	28 	1007 	1008
1900Z 	230/10KT 	28 	1006 	1007
2000Z 	240/10KT 	28 	1006 	1007
2100Z 	240/10KT 	28 	1005 	1006
2200Z 	250/08KT 	28 	1005 	1006
2300Z 	240/08KT 	28 	1005 	1006
13
0000Z 	240/08KT 	27 	1005 	1006
0100Z 	240/08KT 	27 	1006 	1007
0200Z 	240/06KT 	28 	1006 	1007
0300Z 	250/10KT 	29 	1007 	1008
0400Z 	250/12KT 	29 	1007 	1008
0500Z 	250/07G17KT 	30 	1007 	1008
0600Z 	260/07G17KT 	31 	1007 	1008
0700Z 	260/10KT 	31 	1006 	1007
0800Z 	270/12KT 	31 	1006 	1007
0900Z 	260/12KT 	31 	1005 	1006
1000Z 	250/11KT 	30 	1004 	1005
1100Z 	260/10KT 	30 	1004 	1005
1200Z 	250/11KT 	30 	1004 	1005
1300Z 	260/08KT 	30 	1005 	1006
1400Z 	260/08KT 	29 	1005 	1006
1500Z 	270/07KT 	29 	1006 	1007
1600Z 	260/06KT 	29 	1007 	1008
1700Z 	250/05KT 	29 	1007 	1008
1800Z 	240/04KT 	29 	1007 	1008
1900Z 	230/03KT 	28 	1006 	1007
2000Z 	220/03KT 	28 	1006 	1007
2100Z 	210/03KT 	28 	1005 	1006
2200Z 	200/03KT 	27 	1005 	1006
2300Z 	200/03KT 	27 	1005 	1006
14
0000Z 	190/03KT 	27	1005 	1006
0100Z 	180/04KT 	27 	1006 	1007
0200Z 	170/04KT 	27 	1007 	1008
0300Z 	180/04KT 	28 	1007 	1008
0400Z 	200/05KT 	29 	1008 	1009
0500Z 	220/06KT 	30 	1008 	1009
0600Z 	240/08KT 	31 	1007 	1008
0700Z 	250/10KT 	30 	1007 	1008
0800Z 	260/10KT 	30 	1006 	1007
0900Z 	260/11KT 	30 	1005 	1006
1000Z 	270/10KT 	29 	1005 	1006
1100Z 	270/09KT 	29 	1004 	1005
1200Z 	260/09KT 	29 	1004 	1005
1300Z 	260/10KT 	29 	1005 	1006
1400Z 	260/08KT 	28 	1005 	1006
1500Z 	250/08KT 	28 	1006 	1007
1600Z 	250/08KT 	28 	1006 	1007
1700Z 	240/08KT 	28 	1006 	1007
1800Z 	230/07KT 	28 	1006 	1007
1900Z 	240/07KT 	28 	1005 	1006
2000Z 	230/07KT 	28 	1005 	1006
2100Z 	240/07KT 	28 	1005 	1006
2200Z 	VRB/03KT 	26 	1004 	1005
2300Z 	VRB/03KT	26 	1004 	1005
15
0000Z 	120/06KT 	26	1005 	1006
0100Z 	140/06KT 	27 	1006 	1007
0200Z 	150/07KT 	28 	1006 	1007
0300Z 	200/06KT 	28 	1007 	1008
0400Z 	200/08KT 	29 	1008 	1009
0500Z 	210/08KT 	29 	1008 	1009
0600Z 	240/10KT 	30 	1007 	1008
0700Z 	240/10KT 	30 	1007 	1008
0800Z 	230/10KT 	30 	1006 	1007
0900Z 	230/10KT 	30 	1006 	1007
1000Z 	240/10KT 	29 	1005 	1006
1100Z 	250/08KT 	29 	1005 	1006
1200Z 	240/08KT 	29 	1005 	1006
1300Z 	240/08KT 	29 	1005 	1006
1400Z 	230/07KT 	28 	1005 	1006
1500Z 	230/07KT 	28 	1006 	1007
1600Z 	240/06KT 	27 	1006 	1007
1700Z 	230/05KT 	27 	1007 	1008
1800Z 	220/06KT 	27 	1006 	1007
1900Z 	240/05KT 	28 	1006 	1007
2000Z 	230/05KT 	27 	1005 	1006
2100Z 	200/05KT 	27 	1005 	1006
2200Z 	240/07KT 	27 	1004 	1005
2300Z 	240/09KT	27 	1004 	1005
16
0000Z 	220/07KT 	28	1004 	1005
0100Z 	220/06KT 	28 	1005 	1006
0200Z 	230/08KT 	28 	1005 	1006
0300Z 	240/09KT 	29 	1006 	1007
0400Z 	250/11KT 	29 	1007 	1008
0500Z 	260/14KT 	30 	1007 	1008
0600Z 	270/07G17KT 	30 	1007 	1008
0700Z 	270/12KT 	30 	1006 	1007
0800Z 	270/08G18KT 	29 	1006 	1007
0900Z 	270/07G17KT 	29 	1005 	1006
1000Z 	260/12KT 	29 	1005 	1006
1100Z 	260/11KT 	29 	1004 	1005
1200Z 	250/10KT 	28 	1004 	1005
1300Z 	250/10KT 	28 	1005 	1006
1400Z 	250/10KT 	28 	1005 	1006
1500Z 	240/08KT 	28 	1006 	1007
1600Z 	240/08KT 	27 	1006 	1007
1700Z 	230/07KT 	27 	1006 	1007
1800Z 	230/07KT 	27 	1006 	1007
1900Z 	240/06KT 	28 	1005 	1006
2000Z 	230/07KT 	28 	1004 	1005
2100Z 	240/08KT 	28 	1004 	1005
2200Z 	230/09KT 	28 	1004 	1005
2300Z 	240/08KT	28 	1004 	1005
17
0000Z 	220/08KT 	27	1004 	1005
0100Z 	230/09KT 	28 	1004 	1005
0200Z 	230/10KT 	28 	1005 	1006
0300Z 	240/11KT 	28 	1005 	1006
0400Z 	250/12KT 	29 	1006 	1007
0500Z 	250/07G17KT 	29 	1006 	1007
0600Z 	250/08G18KT 	30 	1006 	1007
0700Z 	250/08G18KT 	30 	1005 	1006
0800Z 	260/07G17KT 	30 	1004 	1005
0900Z 	250/12KT 	30 	1004 	1005
1000Z 	250/08G18KT 	30 	1003 	1004
1100Z 	250/12KT 	29 	1003 	1004
1200Z 	260/10KT 	28 	1003 	1004
1300Z 	250/10KT 	28 	1003 	1004
1400Z 	240/10KT 	28 	1003 	1004
1500Z 	240/09KT 	28 	1003 	1005
1600Z 	240/09KT 	28 	1004 	1005
1700Z 	230/10KT 	27 	1004 	1005
1800Z 	230/08KT 	27 	1004 	1005
1900Z 	220/08KT 	27 	1004 	1005
2000Z 	220/08KT 	27 	1003 	1004
2100Z 	230/10KT 	27 	1003 	1004
2200Z 	230/08KT 	27 	1003 	1004
2300Z 	230/08KT	27 	1003 	1004
18
0000Z 	230/10KT 	28 	1003 	1004
0100Z 	230/09KT 	28 	1003 	1004
0200Z 	230/10KT 	28 	1004 	1005
0300Z 	230/10KT 	29 	1004 	1005
0400Z 	240/10KT 	30 	1005 	1006
0500Z 	230/10KT 	30 	1005 	1006
0600Z 	240/10KT 	31 	1005 	1006
0700Z 	240/08G18KT 	31 	1005 	1006
0800Z 	230/08G18KT 	31 	1004 	1005
0900Z 	240/10G20KT 	31 	1003 	1004
1000Z 	240/08G18KT 	31 	1003 	1004
1100Z 	230/07G17KT 	31 	1003 	1004
1200Z 	240/12KT 	30 	1003 	1004
1300Z 	240/12KT 	29 	1003 	1004
1400Z 	250/10KT 	29 	1003 	1004
1500Z 	240/08KT 	29 	1004 	1005
1600Z 	230/07KT 	28 	1005 	1006
1700Z 	240/12KT 	28 	1006 	1007
1800Z 	230/10KT 	28 	1005 	1006
1900Z 	220/07KT 	27 	1005 	1006
2000Z 	220/08KT 	28 	1005 	1006
2100Z 	210/07KT 	28 	1004 	1005
2200Z 	200/07KT 	27 	1005 	1006
2300Z 	210/08KT 	27 	1004 	1005
19
0000Z 	200/07KT 	27 	1005 	1006
0100Z 	180/06KT 	27 	1005 	1006
0200Z 	210/08KT 	27 	1006 	1007
0300Z 	220/08KT 	28 	1006 	1007
0400Z 	230/09KT 	28 	1007 	1008
0500Z 	220/09KT 	29 	1007 	1008
0600Z 	240/11KT 	29 	1007 	1008
0700Z 	220/08G18KT 	29 	1006 	1007
0800Z 	240/10G20KT 	30 	1005 	1006
0900Z 	240/12G22KT 	30 	1005 	1006
1000Z 	240/08G18KT 	30 	1004 	1005
1100Z 	240/11KT 	29 	1004 	1005
1200Z 	240/10KT 	28 	1005 	1006
1300Z 	210/07G17KT 	27 	1005 	1006
1400Z 	180/07G17KT 	26 	1006 	1007
1500Z 	200/08G18KT 	27 	1007 	1008
1600Z 	180/10KT 	27 	1008 	1009
1700Z 	160/10KT 	27 	1008 	1009
1800Z 	180/07G17KT 	27 	1007 	1008
1900Z 	190/10KT 	27 	1007 	1008
2000Z 	180/10KT 	27 	1006 	1007
2100Z 	200/07G17KT 	27 	1006 	1007
2200Z 	180/08KT 	27 	1006 	1007
2300Z 	190/08KT 	27 	1006 	1007
20
0000Z 	190/08KT 	27	1006 	1007
0100Z 	220/08KT 	27 	1006 	1007
0200Z 	200/08KT 	27 	1007 	1008
0300Z 	190/10KT 	28 	1007 	1008
0400Z 	190/10KT 	29 	1008 	1009
0500Z 	200/10KT 	30 	1008 	1009
0600Z 	220/10KT 	30 	1007 	1008
0700Z 	220/10G20KT 	31 	1007 	1008
0800Z 	230/08G18KT 	31 	1006 	1007
0900Z 	230/08G18KT 	31 	1005 	1006
1000Z 	240/08G18KT 	29 	1004 	1005
1100Z 	230/07G17KT 	29 	1004 	1005
1200Z 	210/12KT 	28 	1005 	1006
1300Z 	200/12KT 	28 	1005 	1006
1400Z 	180/10KT 	27 	1006 	1007
1500Z 	170/08KT 	28 	1007 	1008
1600Z 	160/08KT 	27 	1007 	1008
1700Z 	150/07KT 	27 	1007 	1008
1800Z 	150/08KT 	27 	1007 	1008
1900Z 	160/08KT 	27 	1006 	1007
2000Z 	160/08KT 	27 	1006 	1007
2100Z 	150/08KT 	27 	1005 	1006
2200Z 	160/07KT 	27	1005 	1006
2300Z 	180/07KT	27 	1005 	1006
21
0000Z 	160/06KT 	27	1006 	1007
0100Z 	160/06KT 	27 	1007 	1008
0200Z 	150/06KT 	27 	1007 	1008
0300Z 	140/06KT 	28 	1008 	1009
0400Z 	180/08KT 	29 	1008 	1009
0500Z 	200/10KT 	29 	1008 	1009
0600Z 	210/07G17KT 	31 	1008 	1009
0700Z 	220/10KT 	30 	1007 	1008
0800Z 	230/07G17KT 	30 	1006 	1007
0900Z 	230/08G18KT 	29 	1005 	1006
1000Z 	240/12KT 	31 	1005 	1006
1100Z 	220/11KT 	31 	1005 	1006
1200Z 	210/10KT 	30 	1005 	1006
1300Z 	270/09KT 	30 	1006 	1007
1400Z 	270/08KT 	29 	1006 	1007
1500Z 	260/05KT 	29 	1007 	1008
1600Z 	240/05KT 	28 	1008 	1009
1700Z 	220/03KT 	28 	1008 	1009
1800Z 	190/03KT 	28 	1007 	1008
1900Z 	170/03KT 	28 	1008 	1009
2000Z 	170/03KT 	27 	1007 	1008
2100Z 	160/03KT 	27 	1007 	1008
2200Z 	180/03KT 	27 	1006 	1007
2300Z 	180/03KT	27 	1006 	1007
22
0000Z 	180/03KT 	25 	1006 	1007
0100Z 	160/05KT 	26 	1007 	1008
0200Z 	150/06KT 	26 	1007 	1008
0300Z 	160/07KT 	27 	1008 	1009
0400Z 	180/08KT 	28 	1009 	1010
0500Z 	230/12KT 	29 	1009 	1010
0600Z 	220/07G17KT 	29 	1008 	1009
0700Z 	230/10KT 	29 	1007 	1008
0800Z 	230/11KT 	29 	1006 	1007
0900Z 	240/11KT 	29 	1006 	1007
1000Z 	220/10KT 	29 	1005 	1006
1100Z 	230/09KT 	28 	1005 	1006
1200Z 	240/09KT 	28 	1006 	1007
1300Z 	250/08KT 	28 	1006 	1007
1400Z 	240/07KT 	28 	1007 	1008
1500Z 	230/06KT 	28 	1007 	1008
1600Z 	000/00KT 	28 	1008 	1009
1700Z 	000/00KT 	28 	1008 	1009
1800Z 	170/05KT 	27 	1007 	1008
1900Z 	180/05KT 	27 	1007 	1008
2000Z 	160/04KT 	27 	1006 	1007
2100Z 	150/04KT 	27 	1006 	1007
2100Z 	150/04KT 	27 	1006 	1007
2200Z 	160/06KT 	27 	1006 	1007
2300Z 	150/05KT 	26 	1006 	1007
23
0000Z 	130/04KT 	26 	1006 	1007
0100Z 	140/05KT 	25 	1007 	1008
0200Z 	120/06KT 	26 	1008 	1009
0300Z 	130/06KT 	26 	1009 	1010
0400Z 	150/07KT 	27 	1009 	1010
0500Z 	180/08KT 	27 	1009 	1010
0600Z 	200/08KT 	28 	1009 	1010
0700Z 	180/08KT 	28 	1008 	1009
0800Z 	200/08KT 	28 	1007 	1008
0900Z 	220/07KT 	28 	1007	1008
1000Z 	230/07KT 	27 	1006 	1007
1100Z 	230/06KT 	27 	1006	1007
1200Z 	250/06KT 	27 	1007 	1008
1300Z 	220/06KT 	27 	1007 	1008
1400Z 	210/06KT 	27 	1008 	1009
1500Z 	160/05KT 	27 	1008 	1009
1600Z 	150/05KT 	27 	1009 	1010
1700Z 	120/04KT 	27 	1009 	1010
1800Z 	140/04KT 	27 	1009 	1010
1900Z 	150/05KT 	27 	1008	1009
2000Z 	180/04KT 	27 	1007 	1008
2100Z 	190/03KT 	27 	1007 	1008
2200Z 	180/03KT 	24 	1007 	1008
2300Z 	170/03KT 	24 	1007 	1008
24	
0000Z 	090/03KT 	24 	1007 	1008
0100Z 	110/04KT 	24 	1008 	1009
0200Z 	120/04KT 	24 	1009 	1010
0300Z 	160/05KT 	25 	1009 	1010
0400Z 	160/05KT 	26 	1010 	1011
0500Z 	190/04KT 	27 	1010 	1011
0600Z 	200/05KT 	28 	1009 	1010
0700Z 	220/07KT 	28 	1009 	1010
0800Z 	240/10KT 	29 	1008 	1009
0900Z 	250/11KT 	28 	1008 	1009
1000Z 	260/11KT 	28 	1007 	1008
1100Z 	270/10KT 	28 	1007 	1008
1200Z 	250/09KT 	28 	1007 	1008
1300Z 	230/08KT 	27 	1007 	1008
1400Z 	220/08KT 	27 	1008 	1009
1500Z 	200/07KT 	26 	1008	1009
1600Z 	180/06KT 	26 	1009 	1010
1700Z 	160/05KT 	26 	1009 	1010
1800Z 	140/04KT 	26 	1008 	1009
1900Z 	000/00KT 	26 	1007 	1008
2000Z 	000/00KT 	26 	1007 	1008
2100Z 	000/00KT 	26 	1006 	1007
2200Z 	000/00KT 	26 	1006 	1007
2300Z 	000/00KT 	26 	1006 	1007
25
0000Z 	VRB/03KT 	26 	1007 	1008
0100Z 	110/03KT 	26 	1007 	1008
0200Z 	120/04KT 	27 	1008 	1009
0300Z 	140/06KT 	27 	1008 	1009
0400Z 	150/05KT 	28 	1009 	1010
0500Z 	190/06KT 	28 	1009 	1010
0600Z 	230/07KT 	29 	1008 	1009
0700Z 	240/08G18KT 	29 	1007 	1008
0800Z 	250/10G20KT 	29 	1006 	1007
0900Z 	250/08G18KT 	28 	1005 	1006
1000Z 	260/10KT 	28 	1005 	1006
1100Z 	260/10KT 	28 	1005 	1006
1200Z 	270/08KT 	27 	1005 	1006
1000Z 	260/10KT 	28 	1005 	1006
1100Z 	260/10KT 	28 	1005 	1006
1200Z 	270/08KT 	28 	1005 	1006
1300Z 	290/07KT 	28 	1006 	1007
1400Z 	320/06KT 	28 	1006 	1007
1500Z 	330/06KT 	28 	1007 	1008
1600Z 	340/05KT 	27 	1008 	1009
1700Z 	000/00KT 	27 	1007 	1008
1800Z 	000/00KT 	27 	1007 	1008
1900Z 	000/00KT 	27 	1007 	1008
2000Z 	000/00KT 	27 	1006 	1007
2100Z 	000/00KT 	27 	1006 	1007
2200Z 	000/00KT 	27 	1005 	1006
2300Z 	000/00KT 	26 	1006 	1007
26
0100Z 	050/04KT 	26 	1007 	1008
0200Z 	070/04KT 	27 	1007 	1008
0300Z 	000/00KT 	27 	1008 	1009
0400Z 	000/00KT 	29 	1008 	1009
0500Z 	230/06KT 	29 	1008 	1009
0600Z 	250/08KT 	30 	1007 	1008
0700Z 	270/10KT 	30 	1006 	1007
0800Z 	270/12KT 	31 	1005 	1006
0900Z 	270/12KT 	31 	1005 	1006
1000Z 	290/10KT 	30 	1004 	1005
1100Z 	300/12KT 	30 	1004 	1005
1200Z 	290/10KT 	29 	1005 	1006
1300Z 	280/10KT 	29 	1005 	1006
1400Z 	290/09KT 	28 	1006 	1007
1500Z 	290/08KT 	28 	1007 	1008
1600Z 	300/07KT 	28 	1007 	1008
1700Z 	320/06KT 	27 	1008 	1009
1800Z 	330/06KT 	28 	1007 	1008
